gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2860253456	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93264079/original.jpg?1599143769	https://www.inaturalist.org/photos/93264079					2020-08-28T16:32:00Z	monilianmonty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	monilianmonty
2860253357	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93120132/original.jpg?1599056410	https://www.inaturalist.org/photos/93120132					2020-08-30T14:01:02Z	Kristy Morley		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Kristy Morley
2860246448	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93299703/original.jpg?1599158841	https://www.inaturalist.org/photos/93299703					2020-09-03T16:26:51Z	samarlatefa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	samarlatefa
2860245482	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93263240/original.jpg?1599143362	https://www.inaturalist.org/photos/93263240					2020-08-27T15:30:52Z	kay-ce		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kay-ce
2860243494	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93293323/original.jpeg?1599156387	https://www.inaturalist.org/photos/93293323					2020-09-03T21:04:31Z	tankerjd		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tankerjd
2860243494	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93293298/original.jpeg?1599156381	https://www.inaturalist.org/photos/93293298					2020-09-03T21:04:25Z	tankerjd		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tankerjd
2860240508	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274611/original.jpg?1599148357	https://www.inaturalist.org/photos/93274611					2020-09-03T15:51:55Z	shaye1313460		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shaye1313460
2860229472	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274803/original.jpg?1599148463	https://www.inaturalist.org/photos/93274803					2020-09-03T15:51:46Z	dm_sequira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dm_sequira
2860229472	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274766/original.jpg?1599148449	https://www.inaturalist.org/photos/93274766					2020-09-03T15:51:46Z	dm_sequira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dm_sequira
2860225405	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93278661/original.jpg?1599150192	https://www.inaturalist.org/photos/93278661					2020-09-02T22:52:56Z	brad02steiger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	brad02steiger
2860218407	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93287986/original.jpg?1599153905	https://www.inaturalist.org/photos/93287986					2020-08-27T21:27:12Z	rachelrosechateih		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rachelrosechateih
2860215472	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274577/original.jpg?1599148342	https://www.inaturalist.org/photos/93274577					2020-09-03T15:51:36Z	ulisesnr		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ulisesnr
2860214427	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274595/original.jpg?1599148350	https://www.inaturalist.org/photos/93274595					2020-09-03T15:51:19Z	tjimenez01		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tjimenez01
2860210403	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93274584/original.jpg?1599148344	https://www.inaturalist.org/photos/93274584					2020-09-03T15:50:52Z	ge_pfaff		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ge_pfaff
2860191386	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93251416/original.jpeg?1599136604	https://www.inaturalist.org/photos/93251416					2020-09-03T12:36:10Z	chrismkoz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	chrismkoz
2860184188	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92983570/original.jpg?1598976340	https://www.inaturalist.org/photos/92983570					2020-09-01T14:03:02Z	dwhite2020		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dwhite2020
2860183555	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92210056/original.jpg?1598575324	https://www.inaturalist.org/photos/92210056					2020-08-25T20:02:10Z	jpviolette		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jpviolette
2860183093	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92849239/original.jpg?1598900392	https://www.inaturalist.org/photos/92849239					2020-08-31T18:59:01Z	dogservant		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dogservant
2860183093	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92849256/original.jpg?1598900398	https://www.inaturalist.org/photos/92849256					2020-08-31T18:59:01Z	dogservant		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dogservant
2860181240	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93042290/original.jpeg?1599000735	https://www.inaturalist.org/photos/93042290					2020-09-02T01:49:43Z	jakkir13		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jakkir13
2860179566	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92210045/original.jpg?1598575317	https://www.inaturalist.org/photos/92210045					2020-08-25T20:02:05Z	jpviolette		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jpviolette
2860169734	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92429859/original.jpg?1598710822	https://www.inaturalist.org/photos/92429859					2020-08-29T14:18:49Z	nickinthevalley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nickinthevalley
2860164559	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/92759076/original.jpg?1598844235	https://www.inaturalist.org/photos/92759076					2020-08-26T17:56:23Z	aggillator		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	aggillator
2860161286	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93122558/original.jpeg?1599057592	https://www.inaturalist.org/photos/93122558					2020-08-30T19:09:55Z	Andrew Conboy		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Andrew Conboy
2860161215	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/93035315/original.jpg?1598997731	https://www.inaturalist.org/photos/93035315					2020-09-01T21:59:55Z	dogservant		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dogservant
